,2017,2018,2019,2020,2021,2022
BEL,-0.369960446112111,-0.30674148309469823,-0.32824395026131825,-0.30172798183880395,-0.34061079950095424,-0.33989395851794385
BGR,-0.8401716347950605,-0.8498789571385813,-0.8137560487794818,-0.7368827390964015,-0.8160231058425002,-0.8147279743306566
CZE,-0.8601021048924113,-0.8106780817304221,-0.7229202627823335,-0.6946330177587945,-0.681216583549409,-0.6753647194621009
DNK,-2.9962798425239763,-1.304269210422811,-0.6796254163739606,-0.5286824539585957,-0.8117306365990888,-0.6004896292306893
DEU,-0.4238142596505973,-0.3945409795180056,-0.36106729944388394,-0.38175091142879936,-0.3812070128569352,-0.36361755128547346
EST,-7.816646851031232,-27.667624249487083,-7.192844902623455,-2.80895461981886,-22.465148759190033,-5.1911793548104175
IRL,-0.39338879047254904,-0.3550168833715603,-0.3469951804277891,-0.3046399004229207,-0.27991255290300315,-0.29235838396231856
GRC,-0.40891264965830815,-0.3888902319177641,-0.36726566383713666,-0.297564941541964,-0.35119037932470726,-0.3283468942484373
ESP,-0.3796369759543312,-0.3590304072917818,-0.34995510238788885,-0.3692542305401685,-0.3712345622930723,-0.3502970723210723
FRA,-0.6147013976053369,-0.6082413500504515,-0.6046671432103848,-0.6021596545835529,-0.6187943964788505,-0.5338156383809649
HRV,-0.5586595290512516,-0.5286035722353217,-0.4859990222745944,-0.473617652218255,-0.47375603902329005,-0.4403411912107496
ITA,-0.34643049350850913,-0.3318193443017229,-0.32456872796881575,-0.32419591557704136,-0.33440533280225493,-0.31239246201234033
CYP,-0.2879039308827985,-0.27751542287808845,-0.2778244722709131,-0.25092295214262234,-0.2720982801579478,-0.27054986255832403
LVA,-0.6776171082528993,-0.6251894428963606,-0.6407716601062694,-0.5604417884812547,-0.7079867209098917,-0.7267495044627221
LTU,-0.39336487646764134,-0.3598204907993191,-0.35452506590599164,-0.32558722928192846,-0.34710332920516745,-0.3570082868827788
LUX,-0.19948240399693803,-0.19452053788784904,-0.1936053159276191,-0.20644520912872202,-0.200728783277565,-0.20596962165665575
HUN,-0.48053682277156545,-0.4972864291710019,-0.3979365098655326,-0.46308950129482246,-0.5080331323866983,-0.4212506106750653
MLT,-0.28104479864021603,-0.27955246572480597,-0.28039520367060616,-0.2567923980672481,-0.2596697322688894,-0.257691589350992
NLD,-0.5809791335912865,-0.4493981386614967,-0.4077212440762825,-0.34877211596083735,-0.42728301540981156,-0.3039011602640102
AUT,-0.36158471722798174,-0.3202072791285356,-0.2684880359138405,-0.3610033438196651,-0.43590892335067705,-0.27973890191401773
POL,-0.8627181162698989,-0.6901190406513092,-0.6607344844117012,-0.6380792981086223,-0.6951500534548987,-0.6233057657293122
PRT,-0.32997172561488114,-0.3233168796583059,-0.3386340968805467,-0.3699434272996783,-0.37374417902867463,-0.35400424770435707
ROU,-1.4541451234580944,-1.3043496938306605,-1.037190681147716,-1.0136585786926884,-0.92173649119105,-0.9266033016118508
SVN,-0.5856425910114545,-0.5382315297399745,-0.5144341271723378,-0.5643446660446974,-0.510784400796794,-0.4831375772713067
SVK,-0.48391113832588206,-0.46103350678843297,-0.39425954927471185,-0.467276000375753,-0.5189049108285755,-0.3875636965669497
FIN,-0.5934093262814906,-0.5336878980160336,-0.5728924512301958,-0.5433566829762972,-0.6231294194042752,-0.5825876112999216
SWE,-1.0989472873679933,-0.9261879643957565,-0.8830160351269462,-0.7659758192960361,-1.2743068491733034,-1.012286247947014
ISL,-1.645338066451092,-1.435974472121455,-1.7890130490795955,-2.305070478953022,-1.7792655581145609,-1.8316069854422665
NOR,0.402197331202035,0.3795788853142365,0.4009112344794218,0.31856398436834815,0.3012341328585156,0.28828901219297315
