Country,DARIA-MARCOS pref,DARIA-MARCOS rank,MARCOS avg pref,MARCOS avg rank
BEL,-0.33856791030212746,10,-0.33446024447736084,6
BGR,-0.8141601172442001,25,-0.8229783824245673,24
CZE,-0.6729219746625112,23,-0.7456921808443531,23
DNK,-0.47379952653088675,18,-0.8647213942347493,25
DEU,-0.3627934365076101,14,-0.3924469399409425,13
EST,-5.0340907536764,29,-6.9587531834183585,29
IRL,-0.28830740938075666,6,-0.33046876453878193,5
GRC,-0.32532193010326016,9,-0.360435987353593,10
ESP,-0.3500396276455784,11,-0.36919457922000826,12
FRA,-0.533146103912491,20,-0.6047047474844361,20
HRV,-0.43861099985936064,17,-0.4987395950839628,17
ITA,-0.31210924760429765,8,-0.33514422690759643,7
CYP,-0.2700694377396705,4,-0.27679165440140824,4
LVA,-0.7287732230871703,24,-0.6635968712937906,21
LTU,-0.35612834644593755,13,-0.3617826433335491,11
LUX,-0.20614244675443535,2,-0.202911687291635,2
HUN,-0.41915058535915106,16,-0.46456740874522673,16
MLT,-0.25720997826022096,3,-0.27159659555752497,3
NLD,-0.29216317678173626,7,-0.4124104205076664,14
AUT,-0.2720126058909351,5,-0.3366285750298552,8
POL,-0.619841229525417,22,-0.6994020568734987,22
PRT,-0.3548475714578329,12,-0.35398700707746084,9
ROU,-0.9178496004714566,26,-1.099401192414083,27
SVN,-0.4819760169879591,19,-0.539851996218771,18
SVK,-0.38450797175818036,15,-0.4534493837461217,15
FIN,-0.5818248797018658,21,-0.5805349148452777,19
SWE,-1.004888687053373,27,-0.98682869614501,26
ISL,-1.8373955142327842,28,-1.780618161941364,28
NOR,0.28314833477019147,1,0.3492763686389713,1
