,Ai,Variability,dir list
0,BEL,0.0013260482158163889,$\uparrow$
1,BGR,0.000567857086456458,$\uparrow$
2,CZE,0.0024427447995896134,$\uparrow$
3,DNK,0.12669010269980252,$\uparrow$
4,DEU,0.0008241147778633717,$\uparrow$
5,EST,0.15708860113401757,$\uparrow$
6,IRL,0.004050974581561895,$\uparrow$
7,GRC,0.003024964145177167,$\uparrow$
8,ESP,0.00025744467549393413,$\uparrow$
9,FRA,0.0006695344684739535,$\uparrow$
10,HRV,0.0017301913513889655,$\uparrow$
11,ITA,0.00028321440804268683,$\uparrow$
12,CYP,0.00048042481865351316,$\uparrow$
13,LVA,0.0020237186244481675,$\downarrow$
14,LTU,0.0008799404368412533,$\uparrow$
15,LUX,0.0001728250977796053,$\downarrow$
16,HUN,0.0021000253159142446,$\uparrow$
17,MLT,0.00048161109077105024,$\uparrow$
18,NLD,0.01173798348227395,$\uparrow$
19,AUT,0.007726296023082613,$\uparrow$
20,POL,0.0034645362038951966,$\uparrow$
21,PRT,0.0008433237534758442,$\downarrow$
22,ROU,0.008753701140394199,$\uparrow$
23,SVN,0.0011615602833475736,$\uparrow$
24,SVK,0.0030557248087693667,$\uparrow$
25,FIN,0.0007627315980558436,$\uparrow$
26,SWE,0.007397560893640964,$\uparrow$
27,ISL,0.005788528790517722,$\downarrow$
28,NOR,0.005140677422781681,$\downarrow$
