,2017,2018,2019,2020,2021,2022,MARCOS AVG.,DARIA-MARCOS
BEL,8,5,7,6,7,10,6,10
BGR,22,24,25,25,25,25,24,25
CZE,23,23,24,24,21,23,23,23
DNK,28,26,23,18,24,21,25,18
DEU,13,13,12,14,12,14,13,14
EST,29,29,29,29,29,29,29,29
IRL,11,9,9,7,5,6,5,6
GRC,12,12,13,5,9,9,10,9
ESP,9,10,10,12,10,11,12,11
FRA,20,20,20,22,19,19,20,20
HRV,16,17,17,17,15,17,17,17
ITA,6,8,6,8,6,8,7,8
CYP,4,3,4,3,4,4,4,4
LVA,21,21,21,20,23,24,21,24
LTU,10,11,11,9,8,13,11,13
LUX,2,2,2,2,2,2,2,2
HUN,14,16,15,15,16,16,16,16
MLT,3,4,5,4,3,3,3,3
NLD,17,14,16,10,13,7,14,7
AUT,7,6,3,11,14,5,8,5
POL,24,22,22,23,22,22,22,22
PRT,5,7,8,13,11,12,9,12
ROU,26,27,27,27,26,26,27,26
SVN,18,19,18,21,17,18,18,19
SVK,15,15,14,16,18,15,15,15
FIN,19,18,19,19,20,20,19,21
SWE,25,25,26,26,27,27,26,27
ISL,27,28,28,28,28,28,28,28
NOR,1,1,1,1,1,1,1,1
